model,AMPS_Hard,LCB_generation,coding_completion,connections,cta,math_comp,olympiad,paraphrase,plot_unscrambling,simplify,story_generation,summarize,tablejoin,tablereformat,typos,web_of_lies_v2,zebra_puzzle
gpt-4-0613,26,32,42.105,39.167,54,23.958,58.701,66.767,45.538,70.967,76.083,73.333,20.08,58,64,20,42
gpt-4-turbo-2024-04-09,42,52,42.105,44.167,54,44.792,60.185,63.8,39.619,74.233,79.917,67.6,35.96,64,52,70,38
gpt-4o-2024-05-13,45,48,44.737,53,64,39.583,65.059,70.8,42.806,69.6,73.667,74.617,29.22,64,66,70,40
gpt-4o-mini-2024-07-18,41,42,44.737,36.5,58,35.417,48.316,67,23.33,65.533,71,59.167,15.56,60,46,38,36
hermes-2-pro-llama-3-8b,10,22,7.895,2.5,44,12.5,29.436,56.15,15.357,45.417,55.25,46.8,5.96,42,12,14,30
llama-13b,1,0,0,0,0,2.083,6.581,13.417,6.413,10.7,15.417,10.917,0,0,0,0,12
llama-2-13b-chat-hf,3,8,0,1.5,0,5.208,10.662,47.733,11.152,41.233,51.75,37.517,0,4,8,14,32
llama-2-13b-chat-hf-nb3,2,10,0,0.5,0,16.667,12.453,48.65,11.697,40.483,49.5,36.517,0,4,8,10,30
llama-2-13b-hf,0,0,0,0,0,5.208,0,9.167,6.367,10.45,12.75,11.5,0,0,0,0,8
llama-2-70b-instruct,3,,0,2,48,0,0,24.733,10.669,19.233,31.333,18,0,0,0,0,0
llama-2-7b-chat-hf,0,0,0,0,0,0,14.352,55.117,10.576,40.267,46.083,38.067,0,0,10,0,10
llama-3-8b-magpie-align-sft-v0.2,15,18,13.158,1.5,0,6.25,35.041,46.517,12.934,40.15,45.5,31.783,0,16,16,24,26
llama-3-8b-magpie-align-v0.2,11,20,0,7.5,22,8.333,35.179,40.7,11.916,29.383,36.333,30.4,0,4,6,4,22
llama-3-8b-numina-cot-v1.0,9,12,0,1.5,0,16.667,2.213,22.667,10.225,20.667,24.583,24.85,1.34,2,4,0,0
llama-3-8b-numina-cot-v2.0,7,12,0,0,0,13.542,11.497,18.5,11.17,21.05,25.333,24.233,0.28,2,2,0,0
llama-3-8b-numina-cot-v3.0,15,8,2.632,4,0,9.375,15.823,15.65,8.224,17.933,21.75,19.65,0,2,0,0,32
llama-3-8b-openhermes-243k,8,22,5.263,0,20,12.5,24.459,52.117,14.422,37.05,60.75,43.983,7.44,50,14,2,30
llama-3-8b-orpo-v0.1,2,14,10.526,0,0,4.167,8.957,16.917,9.405,24.817,29.583,22.45,0.44,6,12,14,4
llama-3-8b-sharegpt-112k,3,22,10.526,0.5,42,12.5,27.069,51.233,15.243,40.217,54.917,39.517,5.84,26,14,8,24
llama-3-8b-tulu-330k,8,18,5.263,0,36,13.542,22.48,49.4,15.112,49.75,58.333,53.783,4.88,48,30,24,20
llama-3-8b-ultrachat-200k,2,12,7.895,0,42,11.458,22.545,40.817,13.878,38.967,56.167,38.65,6.8,38,6,2,18
llama-3-8b-ultrachat-200k-temp05,2,12,7.895,0,48,7.292,27.227,49.017,13.259,42.883,58.25,35.1,5.28,34,4,2,14
llama-3-8b-ultrachat-200k-temp05-nb3,1,12,5.263,0,44,16.667,34.68,46.15,13.783,39.6,54.083,39.433,6.24,42,6,0,18
llama-3-8b-ultrachat-200k-temp05-nr4,2,6,7.895,1.167,42,2.083,19.787,41.85,10.908,33.1,37.583,29.65,0,0,0,2,32
llama-3-8b-ultrachat-200k-temp08,1,10,5.263,0,42,4.167,22.342,45.65,12.463,37.217,53.333,36.017,7.1,28,2,0,18
llama-3-8b-wildchat,7,26,15.789,0,40,12.5,32.673,51.933,13.791,42.967,58.417,36.067,7.84,52,12,4,30
llama-3-8b-wildchat-hermesadapter,8,22,7.895,0,0,14.583,38.312,48.933,13.908,38.5,45.083,39.55,0,10,16,12,30
llama-3-8b-wildchat-zephyradapter,9,12,10.526,0,42,12.5,34.619,54.767,15.25,44.55,47.75,53.35,7.38,40,18,8,28
llama-3-8b-wizardlm-196k,10,20,10.526,0,42,15.625,21.838,47.983,14.157,46.667,54.917,42.733,1.12,42,18,12,16
llama-3-base-8b-sft,3,4,10.526,0,12,5.208,22.025,33.2,13.55,19.55,38.167,34.7,3.24,24,16,8,18
llama-3-base-8b-sft-dpo,6,16,0,3,42,11.458,30.245,41.317,14.256,38,50.083,46.05,2.8,18,0,2,12
llama-3-base-8b-sft-ipo,7,12,0,3,48,2.083,33.665,46.317,12.289,38.55,44.833,36.583,2.38,16,0,0,12
llama-3-base-8b-sft-kto,9,14,0,4.167,40,8.333,36.052,50.6,15.125,35.033,48.417,45.967,3.12,20,8,4,16
llama-3-base-8b-sft-orpo,8,10,0,6.5,44,4.167,36.089,46.85,14.29,33.967,55.667,42.3,5.68,24,0,18,28
llama-3-base-8b-sft-rdpo,8,12,0,6.333,40,8.333,32.487,47.283,14.653,35,47.583,38.383,5.26,24,2,0,14
llama-3-neural-chat-v1-8b,3,20,5.263,6.667,6,14.583,18.781,34.533,12.975,25.883,44.667,34.4,4.52,20,8,12,24
llama-3-tulu-2-8b,12,18,5.263,2.5,44,14.583,28.371,48.017,13.128,43.617,55.5,42.733,2.06,34,28,14,28
llama-3-tulu-2-dpo-8b,5,24,2.632,7.167,36,8.333,21.913,54.1,15.098,38.617,38.083,42.75,0,26,12,12,24
llama-30b-instruct-2048,3,12,0,0,36,8.333,22.131,28.317,10.745,21.533,39.75,22.283,2.68,12,0,0,18
llama3-8b-flan-v1.0,3,0,0,2.333,8,6.25,17.674,37.7,13.024,36.317,37,32.967,7.3,10,2,0,24
llama3-8b-flan-v1.0-7500,3,0,0,3.333,8,5.208,16.862,41.117,11.671,34.817,36.25,31.017,5.9,8,0,0,24
llama3-8b-flan-v2.0,1,0,0,5.333,0,2.083,0,24.25,1.071,16.15,23.25,18.783,0,0,0,0,0
llama3-8b-flan-v3.0,6,8,0,10.667,44,0,30.638,46.317,13.359,32.6,40.75,36.85,5.4,10,2,6,26
llama3-8b-lima,4,8,5.263,0,0,5.208,11.762,18.317,6.878,16.983,30,19.017,0.44,4,4,0,8
llama3-8b-metamath,0,12,13.158,0,0,6.25,2.71,3.667,11.824,7.083,3.083,9,0,2,12,0,0
llama3-8b-sft-full-mn,8,10,5.263,1,12,14.583,11.978,39.95,11.023,38.183,38.667,30.867,0,8,0,8,24
llama3-8b-wizardlm-v1.0,3,22,10.526,0,46,20.833,25.444,48.117,14.283,50.033,53.083,42.817,2.42,42,20,10,18
llama3-8b-wizardlm-v1.0-hermesadapter,5,24,0,0.667,0,12.5,4.207,39.683,10.019,33.617,35.833,35.95,0,12,24,8,0
llama3-8b-wizardlm-v1.0-zephyradapter,5,14,7.895,0.667,26,11.458,26.78,52.683,13.806,41.583,39,45.667,0,32,28,6,16
mathstral-7b-v0.1,18,26,5.263,3.333,44,18.75,16.773,61.183,14.77,51,57.083,43.717,7.66,32,28,8,24
meta-llama-3-70b-instruct,22,34,7.895,31.167,54,20.833,54.112,57.883,31.154,67.133,69.75,59.25,25.24,52,40,32,30
meta-llama-3-8b,1,12,7.895,0,0,5.208,6.442,1.833,9.41,7,1.083,4.583,0,0,0,0,0
meta-llama-3-8b-instruct,8,26,10.526,20.333,44,14.583,36.41,61.883,15.823,56.167,56.25,54.267,0,34,20,20,30
meta-llama-3.1-405b-instruct-turbo,38,44,47.368,44.167,60,37.5,64.149,81.133,47.377,78.333,75.5,78.933,36.52,64,58,80,34
meta-llama-3.1-70b-instruct-turbo,35,32,34.211,41.667,52,41.667,60.062,82.25,39.422,74.8,75.417,83.85,30.88,68,46,60,26
meta-llama-3.1-8b-instruct-turbo,20,30,13.158,13.167,42,17.708,35.396,64.033,16.975,57.517,50.583,54,4.46,50,30,12,16
microsoft_wizardlm-2-7b,6,12,0,11.5,38,17.708,30.876,56.35,14.688,53.5,55.167,49,0.78,10,2,12,20
mistral-7b-instruct-v0.2,7,18,5.263,6.167,32,9.375,34.873,54.517,12.998,41.917,58.417,51.75,1.86,10,8,8,18
mistral-7b-instruct-v0.3,5,18,0,6.167,46,5.208,33.477,56.017,15.392,50.033,55.667,47.75,1.32,18,14,6,16
mistral-7b-magpie-v1.0,5,22,5.263,0.5,0,2.083,10.607,45.367,12.998,37.8,35.583,30.55,0,10,10,18,12
mistral-7b-sharegpt-v1.0,3,10,7.895,4.5,0,6.25,15.41,53.183,14.416,42.967,56.5,39.3,1.14,6,6,20,24
mistral-7b-tulu-v3.0,5,14,5.263,0.5,40,11.458,33.207,50.767,14.653,51.55,57.667,41.35,0,50,20,18,16
mistral-7b-tulu2-v1.0,2,16,2.632,0,12,6.25,21.066,37.65,10.333,38.467,53.667,30.483,0,2,4,2,20
mistral-7b-ultrachat,4,2,2.632,0,0,2.083,0,12.567,8.395,3.833,10,6.333,0,0,2,8,6
mistral-7b-ultrachat-hermesadapter,6,4,2.632,0.5,0,8.333,14.491,35.65,12.004,29.8,45.833,30.417,2.68,22,4,0,18
mistral-7b-ultrachat-zephyradapter,6,2,2.632,2,0,7.292,18.834,42.4,10.736,33.2,49.417,29.833,5.06,22,2,18,20
mistral-7b-v0.3,0,0,0,0,2,8.333,16.558,16.95,6.54,14.933,16.083,17.65,0,0,0,0,4
mistral-7b-wildchat-v1.0,4,20,7.895,0.5,48,9.375,24.912,52.933,10.146,53.167,54.25,46.1,2.32,40,12,20,22
mistral-7b-wizardlm,4,16,5.263,2,18,10.417,26.01,48.183,13.27,41.167,55.167,37.717,0,10,10,4,24
mistral-7b-wizardlm-ours-v1.0,3,18,10.526,0,34,16.667,28.147,58.033,13.159,49.367,58.25,42.65,2.62,36,14,18,26
mistral-large-2402,22,30,23.684,28.333,48,28.125,46.487,63.35,33.899,67.267,72.917,69.233,15.66,64,24,30,40
mistral-large-2407,31,48,44.737,29.333,54,26.042,64.413,67.6,40.045,73.133,78.5,68.15,21.82,64,50,54,36
mistral-lima,1,0,0,0,2,4.167,7.404,12.2,0.793,6.95,10.333,17.583,0,0,4,2,18
mistral-metamath,4,0,0,0,0,4.167,24.007,17.7,8.74,9.367,17.583,12.083,0,0,0,0,32
mistral-small-2402,16,30,18.421,21.667,44,27.083,41.355,62.067,26.499,59.15,70.667,63.75,7.64,44,18,30,26
mixtral-8x22b-instruct-v0.1,27,32,34.211,25.167,44,14.583,43.415,53.517,28.266,66.867,68.667,63.617,19,32,26,24,34
mixtral-8x7b-instruct-v0.1,16,20,2.632,15,52,15.625,30.503,46.3,16.284,42.75,51.083,39.1,2.38,30,10,16,20
muffin-llama2-lora-13b,0,0,0,0.667,0,4.167,22.937,21.95,7.726,14.783,18.5,10.583,0,0,0,2,18
open-mistral-nemo,17,30,26.316,9.833,46,13.542,34.423,58.1,16.615,49.817,54.917,44.383,12.06,42,16,20,30
openassistant-sft-7-llama-30b-hf,3,10,2.632,0,30,6.25,8.503,49.483,12.836,36,56.25,34.017,2.18,14,18,8,36
openchat-3.6-8b-20240522,5,24,2.632,2.667,44,9.375,33.796,40.367,14.699,29,36.833,36.217,9.12,38,24,6,30
openhermes-2.5-mistral-7b,11,18,5.263,1,46,13.542,36.796,53.483,15.105,47.033,64.917,45.683,6.76,28,18,8,26
orca-2-13b,0,4,0,2,0,5.208,19.599,36.7,10.374,28.967,37.583,17.05,0,14,24,0,22
phi-1_5,0,0,0,0,0,6.25,6.892,13.867,6.566,10.033,7.417,8.983,0,0,0,0,2
phi-2,0,0,0,0,0,10.417,8.633,25.4,7.262,12.867,33.667,20.617,0,0,0,0,10
phi-3-medium-128k-instruct,21,30,14.474,9.5,48,25,30.931,62.067,14.77,51.7,63.75,47.1,4.36,44,14,38,24
phi-3-medium-4k-instruct,29,28,13.158,14,54,27.083,37.989,56.467,15.727,55.783,52.583,48.383,4.88,36,12,40,30
phi-3-mini-128k-instruct,22,18,5.263,6.667,2,17.708,30.974,47.383,11.734,49.667,50.167,51.383,2.06,22,2,8,12
phi-3-mini-4k-instruct,17,22,9.211,9.833,42,14.583,29.086,43.35,11.475,38.533,42.417,35.917,0,2,0,16,22
phi-3-small-128k-instruct,21,28,23.684,11.333,38,20.833,34.759,39.733,13.512,31.867,39.917,36,1.98,42,12,30,42
phi-3-small-8k-instruct,22,26,13.158,18.667,40,18.75,31.69,49.733,18.225,48.317,52.583,42.317,4.5,38,8,16,30
qwen1.5-0.5b-chat,0,0,0,0,0,3.125,10.162,21.367,8.633,13.033,25.833,24.95,0,0,0,0,8
qwen1.5-1.8b-chat,0,0,0,0,6,4.167,6.417,23.4,9.467,21.567,23.167,23.483,0,4,0,0,10
qwen1.5-110b-chat,23,26,18.421,20.333,54,16.667,39.161,59.517,15.34,46.767,59.25,55.517,10.36,30,4,24,28
qwen1.5-4b-chat,4,8,0,0,18,10.417,15.151,31.617,9.395,22.65,31.083,25.65,3.38,6,8,0,26
qwen1.5-72b-chat,19,30,15.789,4.167,52,17.708,43.766,50.85,17.938,56.233,69.083,56.833,10.94,36,12,8,34
qwen1.5-7b-chat,10,8,5.263,3.5,42,7.292,28.591,50.65,11.045,37.383,46.667,41.767,2.7,6,4,4,22
qwen2-0.5b-instruct,3,4,0,0,6,9.375,9.662,30.9,8.415,23.367,28.083,24.167,0,0,0,0,6
qwen2-1.5b-instruct,5,6,5.263,0,20,8.333,16.49,26.2,9.145,14.2,40.417,22.767,2.02,8,0,0,16
qwen2-72b-instruct,33,32,31.579,34,46,37.5,59.81,68.733,33.641,62.167,80.167,62.017,10.72,22,20,44,40
qwen2-7b-instruct,25,40,18.421,10,48,23.958,31.646,45.017,14.625,40,48.917,45.017,2.24,36,6,16,24
replete-coder-llama3-8b,4,0,10.526,0,22,4.167,28.531,42.683,9.282,43.017,51,38.683,2.4,10,26,2,24
smaug-qwen2-72b-instruct,32,36,42.105,28,44,30.208,59.793,66.267,30.09,59.533,71.917,62.3,8.58,26,32,32,42
starcoder2-15b,2,,15.789,0,0,0,7.688,28.95,8.362,20.65,33.083,33.533,0,0,0,0,16
starling-lm-7b-beta,9,26,10.526,4.5,0,11.458,24.13,47.483,13.293,31.8,42.917,31.083,0,6,4,16,22
tulu-human-code-v1.0,3,0,5.263,2,0,11.458,0,26.15,8.781,23.267,31,31.733,7.04,6,8,2,0
tulu-human-v1.0,2,2,0,0,0,5.208,3.225,27.567,8.958,21.75,35.667,30.05,0,8,16,16,12
tulu-v2-sft-v1.0,6,12,2.632,0.5,0,14.583,8.672,38.65,14.538,29.467,39.917,39.567,2.24,18,14,10,8
tulu-v2-sft-v2.0,7,12,13.158,0,30,8.333,14.435,50.433,14.835,45.817,57.667,44.417,3.56,48,30,14,20
vicuna-7b-v1.5,1,2,0,1,6,8.333,11.978,43.367,10.98,40.217,50.667,32.767,0,4,14,10,14
vicuna-7b-v1.5-16k,1,0,2.632,1,20,7.292,18.837,49.817,10.749,33.1,53.5,32.067,1.8,8,12,10,20
wizardcoder-15b-v1.0,4,12,13.158,0,12,6.25,18.522,41.85,9.012,36.567,34.083,32.067,2.38,24,6,14,22
wizardlm-13b-v1.2,4,16,0,0.5,24,10.417,20.664,52.317,11.671,44.7,56.667,48.217,4.36,16,16,10,28
yi-6b-chat,2,0,2.632,0,0,4.167,19.422,22.4,10.067,21.283,39.5,25.7,1.14,12,4,4,12
zephyr-7b-alpha,4,20,2.632,4,36,6.25,19.618,57.983,11.59,47.7,58.167,47.317,4.2,12,6,14,20
zephyr-7b-beta,4,14,2.632,0,32,11.458,18.234,51.767,10.854,49.617,52.167,39.717,1.24,14,2,16,16
