model,average,coding,data_analysis,instruction_following,language,math,reasoning
deepseek-v2-lite-chat,17.5,8.6,18.2,41.8,9.2,14.1,13
zephyr-7b-beta,17.3,8.3,15.7,48.3,4.3,11.2,16
openassistant-sft-7-llama-30b-hf,17.3,6.3,15.4,43.9,10.3,5.9,22
qwen1.5-7b-chat,17,6.6,16.9,44.1,6.2,15.3,13
llama-3-base-8b-sft-rdpo,17,6,23.1,42.1,7.7,16.3,7
llama-3-base-8b-sft-dpo,16.9,8,20.9,43.9,5.8,15.9,7
mistral-7b-wizardlm,16.9,10.6,9.3,45.6,8.4,13.5,14
llama3-8b-flan-v3.0,16.6,4,19.8,39.1,8.7,12.2,16
starling-lm-7b-beta,16.6,18.3,2,38.3,7.3,14.9,19
llama-3-8b-ultrachat-200k-temp08,16.6,7.6,25.7,43.1,4.8,9.2,9
mistral-7b-sharegpt-v1.0,16.3,8.9,2.4,48,8.3,8.2,22
replete-coder-llama3-8b,16.3,5.3,11.5,43.8,11.8,12.2,13
llama-3-neural-chat-v1-8b,16.2,12.6,10.2,34.9,9.2,12.1,18
llama-3-base-8b-sft-ipo,15.8,6,22.1,41.6,5.1,14.2,6
wizardcoder-15b-v1.0,15.7,12.6,12.8,36.1,5,9.6,18
llama-3-8b-magpie-align-v0.2,15.4,10,8.7,34.2,8.5,18.2,13
llama-2-13b-chat-hf-nb3,14.5,5,1.3,43.8,6.7,10.4,20
llama-2-13b-chat-hf,14.3,4,1.3,44.6,6.9,6.3,23
llama-3-8b-ultrachat-200k-temp05-nr4,14.2,6.9,14,35.5,4,8,17
vicuna-7b-v1.5-16k,14.2,1.3,9.9,42.1,7.9,9,15
llama-3-base-8b-sft,14.1,7.3,13.1,31.4,9.9,10.1,13
mistral-7b-ultrachat-zephyradapter,14.1,2.3,9,38.7,4.9,10.7,19
mistral-7b-magpie-v1.0,13.8,13.6,3.3,37.3,7.8,5.9,15
llama3-8b-sft-full-mn,13.8,7.6,6.7,36.9,4,11.5,16
mistral-7b-tulu2-v1.0,13.3,9.3,4.7,40.1,4.8,9.8,11
tulu-v2-sft-v1.0,13.2,7.3,6.7,36.9,9.7,9.8,9
llama3-8b-wizardlm-v1.0-hermesadapter,12.5,12,4,36.3,11.6,7.2,4
llama-30b-instruct-2048,12.4,6,16.9,28,3.6,11.2,9
vicuna-7b-v1.5,12.3,1,3.3,41.8,8.7,7.1,12
llama3-8b-flan-v1.0,11.9,0,8.4,36,5.8,9,12
mistral-7b-ultrachat-hermesadapter,11.8,3.3,8.2,35.4,5.5,9.6,9
qwen1.5-4b-chat,11.6,4,9.1,27.7,5.8,9.9,13
llama3-8b-flan-v1.0-7500,11.4,0,7.3,35.8,5,8.4,12
orca-2-13b,11.4,2,4.7,30.1,12.1,8.3,11
qwen2-1.5b-instruct,10.4,5.6,10,25.9,3,9.9,8
llama-2-7b-chat-hf,10.3,0,0,44.9,6.9,4.8,5
llama-3-8b-orpo-v0.1,9.8,12.3,2.1,23.4,7.1,5,9
starcoder2-15b,9.8,15.8,0,29.1,2.8,3.2,8
tulu-human-v1.0,9.7,1,2.7,28.8,8.3,3.5,14
llama-3-8b-numina-cot-v3.0,9.7,5.3,0.7,18.7,4.1,13.4,16
yi-6b-chat,9,1.3,4.4,27.2,4.7,8.5,8
flan-t5-xxl,8.8,0,6,16.2,2.2,10.4,18
code-llama-3-8b,8.8,9.3,0,21.3,4.5,5.8,12
tulu-human-code-v1.0,7.8,2.6,4.3,28,6.3,4.8,1
flan-ul2,7.8,0,7.3,19.5,2.5,7.6,10
dart-math-llama3-8b-prop2diff,7.6,3.3,0.7,13.4,3.8,11.4,13
llama-3-8b-numina-cot-v1.0,7.5,6,1.1,23.2,5.2,9.3,0
llama-2-70b-instruct,7.4,0,16,23.3,4.2,1,0
llama-3-8b-numina-cot-v2.0,7.4,6,0.8,22.3,4.4,10.7,0
mistral-metamath,7.3,0,0,14.2,2.9,10.7,16
llama3-8b-lima,7.3,6.6,1.5,21.1,3.6,7,4
qwen2-0.5b-instruct,7.3,2,2,26.6,2.8,7.3,3
amber-7b-250-tulu2-v1.0,7,1.3,4,17.5,4.5,9.6,5
amber-7b-350-tulu2-v1.0,6.5,0,6,22.3,4.6,1.9,4
muffin-llama2-lora-13b,6.4,0,0,16.5,2.8,9,10
qwen1.5-1.8b-chat,6.3,0,3.3,22.9,3.2,3.5,5
amber-7b-050-tulu2-v1.0,6.3,0,2.7,17.9,4,6.2,7
phi-2,6.2,0,0,23.1,2.4,6.3,5
falcon-7b-instruct,5.6,0,0.7,16.5,1.7,10.8,4
amber-7b-150-tulu2-v1.0,5.5,1.3,1.3,19.9,4,6.4,0
qwen1.5-0.5b-chat,5.4,0,0,21.3,2.9,4.4,4
llama3-8b-metamath,5,12.6,0.7,5.7,7.9,3,0
mistral-7b-v0.3,4.9,0,0.7,16.4,2.2,8.3,2
mistral-7b-lima,4.7,0,0.7,11.8,1.6,4.2,10
dolly-v2-12b,4.7,0,0,14.8,2.5,7.7,3
llama-13b,4,0,0,12.6,2.1,3.2,6
llama3-8b-flan-v2.0,4,0,0,20.6,2.1,1,0
mistral-7b-ultrachat,3.8,2.3,0,8.2,3.5,2,7
meta-llama-3-8b,3.5,9.9,0,3.6,3.1,4.2,0
falcon-40b-instruct,3.4,0,0,11.6,2.9,0.7,5
llama-2-13b-hf,3.1,0,0,11,2.1,1.7,4
phi-1_5,2.9,0,0,10.1,2.2,4.4,1
